,Room,Photo,path,kind
87,Zaal_F,20190323_115830,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_F/20190323_115830.jpg,FN
88,Zaal_F,20190323_115845,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_F/20190323_115845.jpg,TP
89,Zaal_F,20190323_115915,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_F/20190323_115915.jpg,FN
90,Zaal_F,20190323_115950,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_F/20190323_115950.jpg,TP
91,Zaal_F,20190323_120008,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_F/20190323_120008.jpg,TP
92,Zaal_F,20190323_120033,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_F/20190323_120033.jpg,FN
93,Zaal_F,20190323_120057,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_F/20190323_120057.jpg,FN
94,Zaal_F,20190323_120115,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_F/20190323_120115.jpg,FN
95,Zaal_G,20190323_120149,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_G/20190323_120149.jpg,FN
96,Zaal_G,20190323_120214,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_G/20190323_120214.jpg,TP
97,Zaal_G,20190323_120233,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_G/20190323_120233.jpg,FN
98,Zaal_G,20190323_120258,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_G/20190323_120258.jpg,FN
99,Zaal_G,20190323_120330,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_G/20190323_120330.jpg,TP
100,Zaal_G,20190323_120351,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_G/20190323_120351.jpg,FN
101,Zaal_G,20190323_120406,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_G/20190323_120406.jpg,TP
